# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 5.00000000e+00
# Aref          : 5.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2.03571         	1.77287165e+00	8.86435824e-01	8.86435824e-01	9.85485245e-05	3.16133975e-05	6.69351270e-05	-1.76608647e-05	1.58042875e-19	1.16194185e-19	3.90309799e-19	3.11349084e-19	7.89607150e-20
2.07143         	1.76669092e+00	8.83345461e-01	8.83345461e-01	9.78188246e-05	3.13376829e-05	6.64811416e-05	-1.75717293e-05	1.59800413e-19	1.15280484e-19	3.92254054e-19	3.11407511e-19	8.08465433e-20
2.10714         	1.76068465e+00	8.80342324e-01	8.80342324e-01	1.00509379e-04	3.36656579e-05	6.68437207e-05	-1.65890314e-05	1.60664229e-19	1.14960422e-19	3.93600516e-19	3.11760679e-19	8.18398363e-20
2.14286         	1.75490796e+00	8.77453979e-01	8.77453979e-01	9.06000135e-05	2.92043771e-05	6.13956364e-05	-1.60956296e-05	1.61919097e-19	1.14544899e-19	3.96084851e-19	3.12587324e-19	8.34975268e-20
2.17857         	1.74969928e+00	8.74849640e-01	8.74849640e-01	1.12419346e-04	4.05495898e-05	7.18697557e-05	-1.56600829e-05	1.63197859e-19	1.14039168e-19	3.98996320e-19	3.13537328e-19	8.54589917e-20
2.21429         	1.74466130e+00	8.72330649e-01	8.72330649e-01	1.06230976e-04	3.81901778e-05	6.80407980e-05	-1.49253101e-05	1.64143799e-19	1.13709314e-19	4.01816807e-19	3.14617717e-19	8.71990894e-20
2.25            	1.73941511e+00	8.69707557e-01	8.69707557e-01	1.08149018e-04	3.96237512e-05	6.85252672e-05	-1.44507580e-05	1.64704358e-19	1.13206639e-19	4.03438968e-19	3.14926123e-19	8.85128455e-20
2.28571         	1.73480499e+00	8.67402493e-01	8.67402493e-01	1.11798070e-04	4.17074700e-05	7.00905996e-05	-1.41915648e-05	1.52679299e-19	1.14319466e-19	3.80327241e-19	3.04483086e-19	7.58441545e-20
2.32143         	1.73054104e+00	8.65270521e-01	8.65270521e-01	1.20118744e-04	4.65170513e-05	7.36016928e-05	-1.35423207e-05	1.40165691e-19	1.15531601e-19	3.56190684e-19	2.93626943e-19	6.25637410e-20
2.35714         	1.72646495e+00	8.63232476e-01	8.63232476e-01	1.05489874e-04	3.96517833e-05	6.58380906e-05	-1.30931536e-05	1.28093723e-19	1.16562966e-19	3.32678094e-19	2.82902013e-19	4.97760815e-20
